127.0.0.1 - - [03/Mar/2016:08:45:57 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:58 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:58 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:58 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:58 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/bg-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/tabs-content-tail.gif HTTP/1.1" 304 -
